brand,n_pairs,n_customers,english_rate,deflection_rate,resolution_rate,resolution_ci_lo,resolution_ci_hi,groundable_pairs,specificity_rate,mean_reply_len,followup_rate,gratitude_rate,still_broken_rate,gratitude_lift,n_rate_sample,score
AskLyft,3865,3205,0.9986666666666667,0.5700934579439252,0.4299065420560748,0.41154873164218964,0.44729639519359143,1659.3733333333337,0.09145527369826435,100.0,0.24265687583444592,0.21458046767537828,0.0068775790921595595,-0.060304449648711955,3000,0.4522215608118741
IHGService,727,483,0.9834938101788171,0.45454545454545453,0.5454545454545454,0.5034615384615384,0.5804195804195804,389.99999999999994,0.015384615384615385,129.44895104895105,0.33426573426573425,0.26778242677824265,0.012552301255230125,0.0380777696258254,727,0.44203791588592184
KeyBank_Help,277,184,1.0,0.41155234657039713,0.5884476534296028,0.5341155234657041,0.6354693140794223,162.99999999999997,0.02527075812274368,109.2057761732852,0.35018050541516244,0.1134020618556701,0.030927835051546393,-0.046082949308755755,277,0.4350666687723049
BoostCare,363,246,0.9862258953168044,0.46089385474860334,0.5391061452513967,0.49155027932960904,0.5893854748603352,193.0,0.0223463687150838,100.87150837988827,0.33798882681564246,0.19008264462809918,0.0,-0.11550836550836552,363,0.41775752435755203
AirbnbHelp,2717,1666,0.9569377990430622,0.605,0.395,0.37575961538461533,0.4138557692307693,1027.0,0.032692307692307694,124.36423076923077,0.3984615384615385,0.31467181467181465,0.032818532818532815,-0.09423284225655765,2717,0.4091992167229711
UPSHelp,5978,5041,0.9833333333333333,0.6854237288135593,0.3145762711864407,0.2989830508474576,0.3311949152542373,1849.194666666667,0.06474576271186441,118.90372881355933,0.31084745762711863,0.1395856052344602,0.021810250817884406,0.00020460017319642865,3000,0.3984939780684786
comcastcares,11909,8492,0.9986666666666667,0.7112817089452603,0.2887182910547397,0.2730223631508679,0.30574933244325764,3433.761666666667,0.011348464619492658,114.80707610146862,0.26001335113484647,0.19127086007702182,0.008985879332477536,-0.015007026016726016,3000,0.39625207477688573
NeweggService,438,307,0.9885844748858448,0.535796766743649,0.46420323325635104,0.4179561200923788,0.5127020785219399,201.0,0.02771362586605081,104.65127020785219,0.2979214780600462,0.24806201550387597,0.0,-0.011380145278450354,438,0.38644196621368554
Uber_Support,23761,17034,0.999,0.7767767767767768,0.2232232232232232,0.2088672005338672,0.23958124791458124,5298.7029999999995,0.013013013013013013,90.25525525525525,0.3239906573239907,0.16065911431513905,0.02368692070030896,-0.02065434741104713,3000,0.3811822908598558
AskPapaJohns,1910,1552,0.9989528795811519,0.6483228511530398,0.3516771488469602,0.33176100628930816,0.37421383647798745,671.0000000000001,0.020440251572327043,85.33438155136268,0.31865828092243187,0.16776315789473684,0.009868421052631578,0.021493562231759633,1910,0.37344866988536435
ATT,1394,1156,0.9956958393113343,0.6347262247838616,0.36527377521613835,0.3400396253602306,0.39122838616714706,507.00000000000006,0.018011527377521614,118.47622478386167,0.29322766570605185,0.13022113022113022,0.012285012285012284,0.02837461046416269,1394,0.36999149375685797
ask_progressive,222,193,1.0,0.5720720720720721,0.4279279279279279,0.3648648648648649,0.5,94.99999999999999,0.036036036036036036,115.09909909909909,0.28378378378378377,0.25396825396825395,0.0,-0.04101995565410202,222,0.3474755567894982
TMobileHelp,12541,8183,0.9986666666666667,0.8134178905206942,0.18658210947930576,0.17489986648865152,0.20126835781041386,2336.8063333333334,0.036715620827770364,102.09779706275033,0.31408544726301735,0.1487778958554729,0.020191285866099893,0.03130763042267465,3000,0.3428812840179237
askpanera,791,706,0.9987357774968394,0.6544303797468355,0.3455696202531645,0.31139240506329113,0.3759493670886076,272.99999999999994,0.007594936708860759,102.05822784810127,0.25569620253164554,0.21287128712871287,0.0,0.05090408805031446,791,0.3389633421336705
KFC_UKI_Help,1021,990,0.9990205680705191,0.7264705882352941,0.2735294117647059,0.24117647058823533,0.3019607843137255,279.0,0.0058823529411764705,82.58529411764705,0.2803921568627451,0.12237762237762238,0.0034965034965034965,0.026439482961222102,1021,0.30690784790484443
sizehelpteam,544,459,0.9963235294117647,0.6974169741697417,0.3025830258302583,0.26194649446494467,0.3376845018450184,164.0,0.01107011070110701,83.50369003690037,0.33948339483394835,0.16847826086956522,0.021739130434782608,0.09151785714285715,544,0.3037858310305432
MTNC_Care,367,216,0.28065395095367845,0.6019417475728155,0.3980582524271845,0.3203883495145631,0.5048543689320388,41.00000000000001,0.019417475728155338,77.05825242718447,0.36893203883495146,0.13157894736842105,0.0,0.06666666666666665,367,0.30345598152401315
AskPayPal,3828,3300,0.8906666666666667,0.8372005988023952,0.16279940119760483,0.14819423652694608,0.17739520958083832,555.0600000000002,0.021706586826347306,111.63622754491018,0.21818862275449102,0.313893653516295,0.012006861063464836,0.053948868262498006,3000,0.28255443617803877
CenturyLinkHelp,1610,1252,0.9993788819875776,0.8085767557489124,0.1914232442510876,0.1721566190180236,0.21194841516469853,307.99999999999994,0.004972032318210068,103.56121814791796,0.29334990677439404,0.163135593220339,0.01694915254237288,0.020860171311049336,1610,0.2729853491880218
DunkinDonuts,529,524,0.998109640831758,0.7556818181818182,0.24431818181818177,0.20833333333333337,0.2821969696969697,128.99999999999997,0.003787878787878788,67.55113636363636,0.1590909090909091,0.09523809523809523,0.011904761904761904,-0.0927899686520376,529,0.26832427477997195
Postmates_Help,1357,1183,1.0,0.8246131171702284,0.17538688282977155,0.15397936624907893,0.19530213706705968,238.0,0.012527634487840826,69.56374355195284,0.2778187177597642,0.14588859416445624,0.013262599469496022,-0.0434550702811245,1357,0.2589176584628712
HiltonHelp,467,394,1.0,0.867237687366167,0.13276231263383298,0.10273019271948614,0.16279443254817982,62.0,0.004282655246252677,109.01070663811564,0.21199143468950749,0.25252525252525254,0.010101010101010102,0.042124542124542114,467,0.19445935553218072
DoorDash_Help,732,685,1.0,0.9385245901639344,0.061475409836065587,0.04371584699453557,0.0806010928961749,45.00000000000001,0.009562841530054645,109.26502732240438,0.23497267759562843,0.20930232558139536,0.011627906976744186,0.0962962962962963,732,0.1530420772281682
TwitterSupport,530,501,1.0,0.9981132075471698,0.0018867924528301883,0.0,0.005660377358490565,0.9999999999999998,0.0,93.83584905660378,0.07924528301886792,0.09523809523809523,0.047619047619047616,,530,0.0008490566037735848
